0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:17:05 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2033
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:17:05 +0530] "GET /Frontend/icon%20blog.png HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:17:05 +0530] "GET /Frontend/Blog2.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:19:01 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:19:01 +0530] "GET /Frontend/Blog2.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:19:01 +0530] "GET /Frontend/images//icon%20blog.png HTTP/1.1" 200 7728
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:20:40 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2068
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:20:40 +0530] "GET /Frontend/Blog2.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:20:40 +0530] "GET /Frontend/images//icon%20blog.png%20width= HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:20:43 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:20:43 +0530] "GET /Frontend/Blog2.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:20:43 +0530] "GET /Frontend/images//icon%20blog.png%20width= HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:21:06 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:21:06 +0530] "GET /Frontend/Blog2.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:21:06 +0530] "GET /Frontend/images//icon%20blog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:21:18 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:21:18 +0530] "GET /Frontend/Blog2.jpg HTTP/1.1" 404 1094
